station_co,Station_Name,x,y
58460,金山,30.73,121.3467
58369,南汇,31.05,121.78
58366,崇明,31.67,121.5
58365,嘉定,31.37,121.2533
58370,浦东,31.23,121.53
58362,宝山,31.4,121.45
58361,闵行,31.1,121.37
58462,松江,31.03,121.23
58463,奉贤,30.8797,121.5131
58461,青浦,31.13,121.12
58367,徐家汇,31.2,121.4167
58696,春晓油田,28.5167,124.9
58599,平湖油田,29.0667,124.9
58474,小洋山,30.6297,122.0464
