collect_time,Station_Id_C,Station_Name,Province,City,Lon,Lat,TEM,PRS,PRE_1h,RHU,TEM_Max,TEM_Min,WIN_S_Avg_2mi,WIN_D_Avg_2mi,VIS
2018/7/18 3:00:00,58369,南汇,上海市,市辖区,121.783,31.050,26.1,1008.3,0.00,95.0,26.3,26.1,1.9,147.0,25200.0,
2018/7/18 3:00:00,58460,金山,上海市,,121.266,30.816,26.7,1007.9,0.00,87.0,26.8,26.6,4.5,141.0,34300.0,
2018/7/18 3:00:00,58462,松江,上海市,市辖区,121.175,31.020,26.4,1007.6,0.00,84.0,26.7,26.4,2.6,143.0,32400.0,
2018/7/18 3:00:00,58474,小洋山,上海市,市辖区,122.050,30.633,26.0,1002.4,0.00,92.0,26.0,25.9,4.9,140.0,35000.0,
2018/7/18 3:00:00,58366,崇明,上海市,县,121.492,31.666,26.1,1008.4,0.00,93.0,26.4,26.0,2.7,149.0,30200.0,
2018/7/18 3:00:00,58474,小洋山,上海市,市辖区,122.050,30.633,26.0,1002.4,0.00,92.0,26.0,25.9,4.9,140.0,35000.0,
2018/7/18 3:00:00,58367,徐家汇,上海市,,121.433,31.200,27.3,1008.2,0.00,82.0,27.5,27.3,0.0,999017.0,35000.0,
2018/7/18 3:00:00,58365,嘉定,上海市,市辖区,121.199,31.380,26.7,1007.7,0.00,84.0,26.9,26.7,3.2,150.0,33200.0,
2018/7/18 3:00:00,58366,崇明,上海市,县,121.492,31.666,26.1,1008.4,0.00,93.0,26.4,26.0,2.7,149.0,30200.0,
2018/7/18 3:00:00,58367,徐家汇,上海市,,121.433,31.200,27.3,1008.2,0.00,82.0,27.5,27.3,0.0,999017.0,35000.0,
2018/7/18 3:00:00,58461,青浦,上海市,市辖区,121.116,31.133,26.4,1008.1,0.00,86.0,26.5,26.4,2.2,146.0,30200.0,
2018/7/18 3:00:00,58463,奉贤,上海市,市辖区,121.500,30.883,26.6,1008.0,0.00,86.0,26.7,26.6,2.3,145.0,32600.0,
2018/7/18 3:00:00,58461,青浦,上海市,市辖区,121.116,31.133,26.4,1008.1,0.00,86.0,26.5,26.4,2.2,146.0,30200.0,
2018/7/18 3:00:00,58462,松江,上海市,市辖区,121.175,31.020,26.4,1007.6,0.00,84.0,26.7,26.4,2.6,143.0,32400.0,
2018/7/18 3:00:00,58463,奉贤,上海市,市辖区,121.500,30.883,26.6,1008.0,0.00,86.0,26.7,26.6,2.3,145.0,32600.0,
2018/7/18 3:00:00,58461,青浦,上海市,市辖区,121.116,31.133,26.4,1008.1,0.00,86.0,26.5,26.4,2.2,146.0,30200.0,
2018/7/18 3:00:00,58462,松江,上海市,市辖区,121.175,31.020,26.4,1007.6,0.00,84.0,26.7,26.4,2.6,143.0,32400.0,
2018/7/18 3:00:00,58463,奉贤,上海市,市辖区,121.500,30.883,26.6,1008.0,0.00,86.0,26.7,26.6,2.3,145.0,32600.0,
2018/7/18 3:00:00,58366,崇明,上海市,县,121.492,31.666,26.1,1008.4,0.00,93.0,26.4,26.0,2.7,149.0,30200.0,
2018/7/18 3:00:00,58461,青浦,上海市,市辖区,121.116,31.133,26.4,1008.1,0.00,86.0,26.5,26.4,2.2,146.0,30200.0,
2018/7/18 3:00:00,58474,小洋山,上海市,市辖区,122.050,30.633,26.0,1002.4,0.00,92.0,26.0,25.9,4.9,140.0,35000.0,
2018/7/18 3:00:00,58463,奉贤,上海市,市辖区,121.500,30.883,26.6,1008.0,0.00,86.0,26.7,26.6,2.3,145.0,32600.0,
2018/7/18 3:00:00,58474,小洋山,上海市,市辖区,122.050,30.633,26.0,1002.4,0.00,92.0,26.0,25.9,4.9,140.0,35000.0,
2018/7/18 3:00:00,58460,金山,上海市,,121.266,30.816,26.7,1007.9,0.00,87.0,26.8,26.6,4.5,141.0,34300.0,
2018/7/18 3:00:00,58462,松江,上海市,市辖区,121.175,31.020,26.4,1007.6,0.00,84.0,26.7,26.4,2.6,143.0,32400.0,
2018/7/18 3:00:00,58463,奉贤,上海市,市辖区,121.500,30.883,26.6,1008.0,0.00,86.0,26.7,26.6,2.3,145.0,32600.0,
2018/7/18 3:00:00,58361,闵行,上海市,市辖区,121.366,31.100,26.8,1008.0,0.00,84.0,27.0,26.7,1.4,142.0,33300.0,
2018/7/18 3:00:00,58362,宝山,上海市,,121.450,31.400,26.9,1008.3,0.00,82.0,27.0,26.9,3.2,149.0,35000.0,
2018/7/18 3:00:00,58365,嘉定,上海市,市辖区,121.199,31.380,26.7,1007.7,0.00,84.0,26.9,26.7,3.2,150.0,33200.0,
2018/7/18 3:00:00,58369,南汇,上海市,市辖区,121.783,31.050,26.1,1008.3,0.00,95.0,26.3,26.1,1.9,147.0,25200.0,
2018/7/18 3:00:00,58370,浦东,上海市,,121.533,31.233,26.6,1008.3,0.00,89.0,26.7,26.6,0.4,104.0,29700.0,
2018/7/18 3:00:00,58462,松江,上海市,市辖区,121.175,31.020,26.4,1007.6,0.00,84.0,26.7,26.4,2.6,143.0,32400.0,
2018/7/18 3:00:00,58463,奉贤,上海市,市辖区,121.500,30.883,26.6,1008.0,0.00,86.0,26.7,26.6,2.3,145.0,32600.0,
2018/7/18 3:00:00,58366,崇明,上海市,县,121.492,31.666,26.1,1008.4,0.00,93.0,26.4,26.0,2.7,149.0,30200.0,
2018/7/18 3:00:00,58367,徐家汇,上海市,,121.433,31.200,27.3,1008.2,0.00,82.0,27.5,27.3,0.0,999017.0,35000.0,
2018/7/18 3:00:00,58463,奉贤,上海市,市辖区,121.500,30.883,26.6,1008.0,0.00,86.0,26.7,26.6,2.3,145.0,32600.0,
2018/7/18 3:00:00,58474,小洋山,上海市,市辖区,122.050,30.633,26.0,1002.4,0.00,92.0,26.0,25.9,4.9,140.0,35000.0,
2018/7/18 3:00:00,58462,松江,上海市,市辖区,121.175,31.020,26.4,1007.6,0.00,84.0,26.7,26.4,2.6,143.0,32400.0,
2018/7/18 3:00:00,58461,青浦,上海市,市辖区,121.116,31.133,26.4,1008.1,0.00,86.0,26.5,26.4,2.2,146.0,30200.0,
2018/7/18 3:00:00,58474,小洋山,上海市,市辖区,122.050,30.633,26.0,1002.4,0.00,92.0,26.0,25.9,4.9,140.0,35000.0,
2018/7/18 3:00:00,58362,宝山,上海市,,121.450,31.400,26.9,1008.3,0.00,82.0,27.0,26.9,3.2,149.0,35000.0,
2018/7/18 3:00:00,58463,奉贤,上海市,市辖区,121.500,30.883,26.6,1008.0,0.00,86.0,26.7,26.6,2.3,145.0,32600.0,
2018/7/18 3:00:00,58462,松江,上海市,市辖区,121.175,31.020,26.4,1007.6,0.00,84.0,26.7,26.4,2.6,143.0,32400.0,
2018/7/18 3:00:00,58463,奉贤,上海市,市辖区,121.500,30.883,26.6,1008.0,0.00,86.0,26.7,26.6,2.3,145.0,32600.0,
2018/7/18 3:00:00,58361,闵行,上海市,市辖区,121.366,31.100,26.8,1008.0,0.00,84.0,27.0,26.7,1.4,142.0,33300.0,
2018/7/18 3:00:00,58463,奉贤,上海市,市辖区,121.500,30.883,26.6,1008.0,0.00,86.0,26.7,26.6,2.3,145.0,32600.0,
2018/7/18 3:00:00,58362,宝山,上海市,,121.450,31.400,26.9,1008.3,0.00,82.0,27.0,26.9,3.2,149.0,35000.0,
2018/7/18 3:00:00,58365,嘉定,上海市,市辖区,121.199,31.380,26.7,1007.7,0.00,84.0,26.9,26.7,3.2,150.0,33200.0,
2018/7/18 3:00:00,58366,崇明,上海市,县,121.492,31.666,26.1,1008.4,0.00,93.0,26.4,26.0,2.7,149.0,30200.0,
2018/7/18 3:00:00,58362,宝山,上海市,,121.450,31.400,26.9,1008.3,0.00,82.0,27.0,26.9,3.2,149.0,35000.0,
2018/7/18 3:00:00,58366,崇明,上海市,县,121.492,31.666,26.1,1008.4,0.00,93.0,26.4,26.0,2.7,149.0,30200.0,
2018/7/18 3:00:00,58367,徐家汇,上海市,,121.433,31.200,27.3,1008.2,0.00,82.0,27.5,27.3,0.0,999017.0,35000.0,
2018/7/18 3:00:00,58370,浦东,上海市,,121.533,31.233,26.6,1008.3,0.00,89.0,26.7,26.6,0.4,104.0,29700.0,
2018/7/18 3:00:00,58462,松江,上海市,市辖区,121.175,31.020,26.4,1007.6,0.00,84.0,26.7,26.4,2.6,143.0,32400.0,
2018/7/18 3:00:00,58463,奉贤,上海市,市辖区,121.500,30.883,26.6,1008.0,0.00,86.0,26.7,26.6,2.3,145.0,32600.0,
2018/7/18 3:00:00,58474,小洋山,上海市,市辖区,122.050,30.633,26.0,1002.4,0.00,92.0,26.0,25.9,4.9,140.0,35000.0,
2018/7/18 3:00:00,58362,宝山,上海市,,121.450,31.400,26.9,1008.3,0.00,82.0,27.0,26.9,3.2,149.0,35000.0,
2018/7/18 3:00:00,58365,嘉定,上海市,市辖区,121.199,31.380,26.7,1007.7,0.00,84.0,26.9,26.7,3.2,150.0,33200.0,
2018/7/18 3:00:00,58366,崇明,上海市,县,121.492,31.666,26.1,1008.4,0.00,93.0,26.4,26.0,2.7,149.0,30200.0,
2018/7/18 3:00:00,58460,金山,上海市,,121.266,30.816,26.7,1007.9,0.00,87.0,26.8,26.6,4.5,141.0,34300.0,
2018/7/18 3:00:00,58461,青浦,上海市,市辖区,121.116,31.133,26.4,1008.1,0.00,86.0,26.5,26.4,2.2,146.0,30200.0,
2018/7/18 3:00:00,58474,小洋山,上海市,市辖区,122.050,30.633,26.0,1002.4,0.00,92.0,26.0,25.9,4.9,140.0,35000.0,
2018/7/18 3:00:00,58474,小洋山,上海市,市辖区,122.050,30.633,26.0,1002.4,0.00,92.0,26.0,25.9,4.9,140.0,35000.0,
2018/7/18 3:00:00,58365,嘉定,上海市,市辖区,121.199,31.380,26.7,1007.7,0.00,84.0,26.9,26.7,3.2,150.0,33200.0,
2018/7/18 3:00:00,58366,崇明,上海市,县,121.492,31.666,26.1,1008.4,0.00,93.0,26.4,26.0,2.7,149.0,30200.0,
2018/7/18 3:00:00,58370,浦东,上海市,,121.533,31.233,26.6,1008.3,0.00,89.0,26.7,26.6,0.4,104.0,29700.0,
2018/7/18 3:00:00,58460,金山,上海市,,121.266,30.816,26.7,1007.9,0.00,87.0,26.8,26.6,4.5,141.0,34300.0,
2018/7/18 3:00:00,58461,青浦,上海市,市辖区,121.116,31.133,26.4,1008.1,0.00,86.0,26.5,26.4,2.2,146.0,30200.0,
2018/7/18 3:00:00,58462,松江,上海市,市辖区,121.175,31.020,26.4,1007.6,0.00,84.0,26.7,26.4,2.6,143.0,32400.0,
2018/7/18 3:00:00,58366,崇明,上海市,县,121.492,31.666,26.1,1008.4,0.00,93.0,26.4,26.0,2.7,149.0,30200.0,
2018/7/18 3:00:00,58460,金山,上海市,,121.266,30.816,26.7,1007.9,0.00,87.0,26.8,26.6,4.5,141.0,34300.0,
2018/7/18 3:00:00,58461,青浦,上海市,市辖区,121.116,31.133,26.4,1008.1,0.00,86.0,26.5,26.4,2.2,146.0,30200.0,
2018/7/18 3:00:00,58362,宝山,上海市,,121.450,31.400,26.9,1008.3,0.00,82.0,27.0,26.9,3.2,149.0,35000.0,
2018/7/18 3:00:00,58463,奉贤,上海市,市辖区,121.500,30.883,26.6,1008.0,0.00,86.0,26.7,26.6,2.3,145.0,32600.0,
2018/7/18 3:00:00,58461,青浦,上海市,市辖区,121.116,31.133,26.4,1008.1,0.00,86.0,26.5,26.4,2.2,146.0,30200.0,
2018/7/18 3:00:00,58462,松江,上海市,市辖区,121.175,31.020,26.4,1007.6,0.00,84.0,26.7,26.4,2.6,143.0,32400.0,
2018/7/18 3:00:00,58370,浦东,上海市,,121.533,31.233,26.6,1008.3,0.00,89.0,26.7,26.6,0.4,104.0,29700.0,
2018/7/18 3:00:00,58362,宝山,上海市,,121.450,31.400,26.9,1008.3,0.00,82.0,27.0,26.9,3.2,149.0,35000.0,
2018/7/18 3:00:00,58365,嘉定,上海市,市辖区,121.199,31.380,26.7,1007.7,0.00,84.0,26.9,26.7,3.2,150.0,33200.0,
2018/7/18 3:00:00,58366,崇明,上海市,县,121.492,31.666,26.1,1008.4,0.00,93.0,26.4,26.0,2.7,149.0,30200.0,
2018/7/18 3:00:00,58367,徐家汇,上海市,,121.433,31.200,27.3,1008.2,0.00,82.0,27.5,27.3,0.0,999017.0,35000.0,
2018/7/18 3:00:00,58369,南汇,上海市,市辖区,121.783,31.050,26.1,1008.3,0.00,95.0,26.3,26.1,1.9,147.0,25200.0,
2018/7/18 3:00:00,58461,青浦,上海市,市辖区,121.116,31.133,26.4,1008.1,0.00,86.0,26.5,26.4,2.2,146.0,30200.0,
2018/7/18 3:00:00,58462,松江,上海市,市辖区,121.175,31.020,26.4,1007.6,0.00,84.0,26.7,26.4,2.6,143.0,32400.0,
2018/7/18 3:00:00,58463,奉贤,上海市,市辖区,121.500,30.883,26.6,1008.0,0.00,86.0,26.7,26.6,2.3,145.0,32600.0,
2018/7/18 3:00:00,58366,崇明,上海市,县,121.492,31.666,26.1,1008.4,0.00,93.0,26.4,26.0,2.7,149.0,30200.0,
2018/7/18 3:00:00,58474,小洋山,上海市,市辖区,122.050,30.633,26.0,1002.4,0.00,92.0,26.0,25.9,4.9,140.0,35000.0,
2018/7/18 3:00:00,58361,闵行,上海市,市辖区,121.366,31.100,26.8,1008.0,0.00,84.0,27.0,26.7,1.4,142.0,33300.0,
2018/7/18 3:00:00,58369,南汇,上海市,市辖区,121.783,31.050,26.1,1008.3,0.00,95.0,26.3,26.1,1.9,147.0,25200.0,
2018/7/18 3:00:00,58370,浦东,上海市,,121.533,31.233,26.6,1008.3,0.00,89.0,26.7,26.6,0.4,104.0,29700.0,
2018/7/18 3:00:00,58474,小洋山,上海市,市辖区,122.050,30.633,26.0,1002.4,0.00,92.0,26.0,25.9,4.9,140.0,35000.0,
2018/7/18 3:00:00,58367,徐家汇,上海市,,121.433,31.200,27.3,1008.2,0.00,82.0,27.5,27.3,0.0,999017.0,35000.0,
2018/7/18 3:00:00,58369,南汇,上海市,市辖区,121.783,31.050,26.1,1008.3,0.00,95.0,26.3,26.1,1.9,147.0,25200.0,
2018/7/18 3:00:00,58462,松江,上海市,市辖区,121.175,31.020,26.4,1007.6,0.00,84.0,26.7,26.4,2.6,143.0,32400.0,
2018/7/18 3:00:00,58362,宝山,上海市,,121.450,31.400,26.9,1008.3,0.00,82.0,27.0,26.9,3.2,149.0,35000.0,
2018/7/18 3:00:00,58365,嘉定,上海市,市辖区,121.199,31.380,26.7,1007.7,0.00,84.0,26.9,26.7,3.2,150.0,33200.0,
2018/7/18 3:00:00,58367,徐家汇,上海市,,121.433,31.200,27.3,1008.2,0.00,82.0,27.5,27.3,0.0,999017.0,35000.0,
2018/7/18 3:00:00,58462,松江,上海市,市辖区,121.175,31.020,26.4,1007.6,0.00,84.0,26.7,26.4,2.6,143.0,32400.0,
2018/7/18 3:00:00,58463,奉贤,上海市,市辖区,121.500,30.883,26.6,1008.0,0.00,86.0,26.7,26.6,2.3,145.0,32600.0,
2018/7/18 3:00:00,58362,宝山,上海市,,121.450,31.400,26.9,1008.3,0.00,82.0,27.0,26.9,3.2,149.0,35000.0,
2018/7/18 3:00:00,58365,嘉定,上海市,市辖区,121.199,31.380,26.7,1007.7,0.00,84.0,26.9,26.7,3.2,150.0,33200.0,
2018/7/18 3:00:00,58366,崇明,上海市,县,121.492,31.666,26.1,1008.4,0.00,93.0,26.4,26.0,2.7,149.0,30200.0,
2018/7/18 3:00:00,58369,南汇,上海市,市辖区,121.783,31.050,26.1,1008.3,0.00,95.0,26.3,26.1,1.9,147.0,25200.0,
2018/7/18 3:00:00,58370,浦东,上海市,,121.533,31.233,26.6,1008.3,0.00,89.0,26.7,26.6,0.4,104.0,29700.0,
2018/7/18 3:00:00,58362,宝山,上海市,,121.450,31.400,26.9,1008.3,0.00,82.0,27.0,26.9,3.2,149.0,35000.0,
2018/7/18 3:00:00,58365,嘉定,上海市,市辖区,121.199,31.380,26.7,1007.7,0.00,84.0,26.9,26.7,3.2,150.0,33200.0,
2018/7/18 3:00:00,58366,崇明,上海市,县,121.492,31.666,26.1,1008.4,0.00,93.0,26.4,26.0,2.7,149.0,30200.0,
2018/7/18 3:00:00,58367,徐家汇,上海市,,121.433,31.200,27.3,1008.2,0.00,82.0,27.5,27.3,0.0,999017.0,35000.0,
2018/7/18 3:00:00,58370,浦东,上海市,,121.533,31.233,26.6,1008.3,0.00,89.0,26.7,26.6,0.4,104.0,29700.0,
2018/7/18 3:00:00,58460,金山,上海市,,121.266,30.816,26.7,1007.9,0.00,87.0,26.8,26.6,4.5,141.0,34300.0,
2018/7/18 3:00:00,58461,青浦,上海市,市辖区,121.116,31.133,26.4,1008.1,0.00,86.0,26.5,26.4,2.2,146.0,30200.0,
2018/7/18 3:00:00,58463,奉贤,上海市,市辖区,121.500,30.883,26.6,1008.0,0.00,86.0,26.7,26.6,2.3,145.0,32600.0,
2018/7/18 3:00:00,58474,小洋山,上海市,市辖区,122.050,30.633,26.0,1002.4,0.00,92.0,26.0,25.9,4.9,140.0,35000.0,
2018/7/18 3:00:00,58361,闵行,上海市,市辖区,121.366,31.100,26.8,1008.0,0.00,84.0,27.0,26.7,1.4,142.0,33300.0,
2018/7/18 3:00:00,58462,松江,上海市,市辖区,121.175,31.020,26.4,1007.6,0.00,84.0,26.7,26.4,2.6,143.0,32400.0,
2018/7/18 3:00:00,58362,宝山,上海市,,121.450,31.400,26.9,1008.3,0.00,82.0,27.0,26.9,3.2,149.0,35000.0,
2018/7/18 3:00:00,58369,南汇,上海市,市辖区,121.783,31.050,26.1,1008.3,0.00,95.0,26.3,26.1,1.9,147.0,25200.0,
2018/7/18 3:00:00,58370,浦东,上海市,,121.533,31.233,26.6,1008.3,0.00,89.0,26.7,26.6,0.4,104.0,29700.0,
2018/7/18 3:00:00,58362,宝山,上海市,,121.450,31.400,26.9,1008.3,0.00,82.0,27.0,26.9,3.2,149.0,35000.0,
2018/7/18 3:00:00,58365,嘉定,上海市,市辖区,121.199,31.380,26.7,1007.7,0.00,84.0,26.9,26.7,3.2,150.0,33200.0,
2018/7/18 3:00:00,58367,徐家汇,上海市,,121.433,31.200,27.3,1008.2,0.00,82.0,27.5,27.3,0.0,999017.0,35000.0,
2018/7/18 3:00:00,58369,南汇,上海市,市辖区,121.783,31.050,26.1,1008.3,0.00,95.0,26.3,26.1,1.9,147.0,25200.0,
2018/7/18 3:00:00,58370,浦东,上海市,,121.533,31.233,26.6,1008.3,0.00,89.0,26.7,26.6,0.4,104.0,29700.0,
2018/7/18 3:00:00,58463,奉贤,上海市,市辖区,121.500,30.883,26.6,1008.0,0.00,86.0,26.7,26.6,2.3,145.0,32600.0,
2018/7/18 3:00:00,58361,闵行,上海市,市辖区,121.366,31.100,26.8,1008.0,0.00,84.0,27.0,26.7,1.4,142.0,33300.0,
2018/7/18 3:00:00,58362,宝山,上海市,,121.450,31.400,26.9,1008.3,0.00,82.0,27.0,26.9,3.2,149.0,35000.0,
2018/7/18 3:00:00,58366,崇明,上海市,县,121.492,31.666,26.1,1008.4,0.00,93.0,26.4,26.0,2.7,149.0,30200.0,
2018/7/18 3:00:00,58367,徐家汇,上海市,,121.433,31.200,27.3,1008.2,0.00,82.0,27.5,27.3,0.0,999017.0,35000.0,
2018/7/18 3:00:00,58370,浦东,上海市,,121.533,31.233,26.6,1008.3,0.00,89.0,26.7,26.6,0.4,104.0,29700.0,
2018/7/18 3:00:00,58460,金山,上海市,,121.266,30.816,26.7,1007.9,0.00,87.0,26.8,26.6,4.5,141.0,34300.0,
2018/7/18 3:00:00,58461,青浦,上海市,市辖区,121.116,31.133,26.4,1008.1,0.00,86.0,26.5,26.4,2.2,146.0,30200.0,
2018/7/18 3:00:00,58462,松江,上海市,市辖区,121.175,31.020,26.4,1007.6,0.00,84.0,26.7,26.4,2.6,143.0,32400.0,
2018/7/18 3:00:00,58474,小洋山,上海市,市辖区,122.050,30.633,26.0,1002.4,0.00,92.0,26.0,25.9,4.9,140.0,35000.0,
2018/7/18 3:00:00,58362,宝山,上海市,,121.450,31.400,26.9,1008.3,0.00,82.0,27.0,26.9,3.2,149.0,35000.0,
2018/7/18 3:00:00,58367,徐家汇,上海市,,121.433,31.200,27.3,1008.2,0.00,82.0,27.5,27.3,0.0,999017.0,35000.0,
2018/7/18 3:00:00,58370,浦东,上海市,,121.533,31.233,26.6,1008.3,0.00,89.0,26.7,26.6,0.4,104.0,29700.0,
2018/7/18 3:00:00,58365,嘉定,上海市,市辖区,121.199,31.380,26.7,1007.7,0.00,84.0,26.9,26.7,3.2,150.0,33200.0,
2018/7/18 3:00:00,58460,金山,上海市,,121.266,30.816,26.7,1007.9,0.00,87.0,26.8,26.6,4.5,141.0,34300.0,
2018/7/18 3:00:00,58461,青浦,上海市,市辖区,121.116,31.133,26.4,1008.1,0.00,86.0,26.5,26.4,2.2,146.0,30200.0,
2018/7/18 3:00:00,58462,松江,上海市,市辖区,121.175,31.020,26.4,1007.6,0.00,84.0,26.7,26.4,2.6,143.0,32400.0,
2018/7/18 3:00:00,58463,奉贤,上海市,市辖区,121.500,30.883,26.6,1008.0,0.00,86.0,26.7,26.6,2.3,145.0,32600.0,
2018/7/18 3:00:00,58365,嘉定,上海市,市辖区,121.199,31.380,26.7,1007.7,0.00,84.0,26.9,26.7,3.2,150.0,33200.0,
2018/7/18 3:00:00,58366,崇明,上海市,县,121.492,31.666,26.1,1008.4,0.00,93.0,26.4,26.0,2.7,149.0,30200.0,
2018/7/18 3:00:00,58367,徐家汇,上海市,,121.433,31.200,27.3,1008.2,0.00,82.0,27.5,27.3,0.0,999017.0,35000.0,
2018/7/18 3:00:00,58369,南汇,上海市,市辖区,121.783,31.050,26.1,1008.3,0.00,95.0,26.3,26.1,1.9,147.0,25200.0,
2018/7/18 3:00:00,58460,金山,上海市,,121.266,30.816,26.7,1007.9,0.00,87.0,26.8,26.6,4.5,141.0,34300.0,
2018/7/18 3:00:00,58461,青浦,上海市,市辖区,121.116,31.133,26.4,1008.1,0.00,86.0,26.5,26.4,2.2,146.0,30200.0,
2018/7/18 3:00:00,58370,浦东,上海市,,121.533,31.233,26.6,1008.3,0.00,89.0,26.7,26.6,0.4,104.0,29700.0,
2018/7/18 3:00:00,58361,闵行,上海市,市辖区,121.366,31.100,26.8,1008.0,0.00,84.0,27.0,26.7,1.4,142.0,33300.0,
2018/7/18 3:00:00,58361,闵行,上海市,市辖区,121.366,31.100,26.8,1008.0,0.00,84.0,27.0,26.7,1.4,142.0,33300.0,
2018/7/18 3:00:00,58362,宝山,上海市,,121.450,31.400,26.9,1008.3,0.00,82.0,27.0,26.9,3.2,149.0,35000.0,
2018/7/18 3:00:00,58365,嘉定,上海市,市辖区,121.199,31.380,26.7,1007.7,0.00,84.0,26.9,26.7,3.2,150.0,33200.0,
2018/7/18 3:00:00,58367,徐家汇,上海市,,121.433,31.200,27.3,1008.2,0.00,82.0,27.5,27.3,0.0,999017.0,35000.0,
2018/7/18 3:00:00,58474,小洋山,上海市,市辖区,122.050,30.633,26.0,1002.4,0.00,92.0,26.0,25.9,4.9,140.0,35000.0,
2018/7/18 3:00:00,58362,宝山,上海市,,121.450,31.400,26.9,1008.3,0.00,82.0,27.0,26.9,3.2,149.0,35000.0,
2018/7/18 3:00:00,58366,崇明,上海市,县,121.492,31.666,26.1,1008.4,0.00,93.0,26.4,26.0,2.7,149.0,30200.0,
2018/7/18 3:00:00,58362,宝山,上海市,,121.450,31.400,26.9,1008.3,0.00,82.0,27.0,26.9,3.2,149.0,35000.0,
2018/7/18 3:00:00,58365,嘉定,上海市,市辖区,121.199,31.380,26.7,1007.7,0.00,84.0,26.9,26.7,3.2,150.0,33200.0,
2018/7/18 3:00:00,58367,徐家汇,上海市,,121.433,31.200,27.3,1008.2,0.00,82.0,27.5,27.3,0.0,999017.0,35000.0,
2018/7/18 3:00:00,58461,青浦,上海市,市辖区,121.116,31.133,26.4,1008.1,0.00,86.0,26.5,26.4,2.2,146.0,30200.0,
2018/7/18 3:00:00,58463,奉贤,上海市,市辖区,121.500,30.883,26.6,1008.0,0.00,86.0,26.7,26.6,2.3,145.0,32600.0,
2018/7/18 3:00:00,58461,青浦,上海市,市辖区,121.116,31.133,26.4,1008.1,0.00,86.0,26.5,26.4,2.2,146.0,30200.0,
2018/7/18 3:00:00,58462,松江,上海市,市辖区,121.175,31.020,26.4,1007.6,0.00,84.0,26.7,26.4,2.6,143.0,32400.0,
2018/7/18 3:00:00,58474,小洋山,上海市,市辖区,122.050,30.633,26.0,1002.4,0.00,92.0,26.0,25.9,4.9,140.0,35000.0,
2018/7/18 3:00:00,58361,闵行,上海市,市辖区,121.366,31.100,26.8,1008.0,0.00,84.0,27.0,26.7,1.4,142.0,33300.0,
